feature_id,d_abs,auc,spearman,boot_sign_agree,boot_rank_stability,is_candidate
NDW_2-gram_NDW,0.3333592428362588,0.6057690474502656,0.23451214623355768,1.0,0.0,False
NDW_3-gram_NDW,0.33234222617560183,0.6061222895767376,0.23556967043788102,1.0,0.0,False
NDW_4-gram_NDW,0.33203785801757285,0.6061974275510859,0.23594765405362764,1.0,0.0,False
NDW_5-gram_NDW,0.33161608363534906,0.6061499836545264,0.2359609719479343,1.0,0.0,False
NDW_6-gram_NDW,0.3315808394966735,0.606145074398871,0.2359635355800421,1.0,0.0,False
NDW_7-gram_NDW,0.33147797363921394,0.6061251763712067,0.23592020146784506,1.0,0.0,False
NDW_8-gram_NDW,0.3314170022736608,0.6061113640892652,0.2358819352854009,1.0,0.0,False
NDW_C_NDW,0.3273700306647325,0.6046864273873163,0.23358911086533807,1.0,0.0,False
NDW_E_NDW,0.3178773746551596,0.6020130301167187,0.22594939840019923,1.0,0.0,False
NDW_F_NDW,0.3419375637442918,0.6092021162928929,0.24203140572771678,1.0,0.0,False
NDW_IC_NDW,0.04603249334961205,0.4935276415410149,-0.04107858712530996,1.0,0.0,False
NDW_J_NDW,0.33531759688359913,0.6080314575239291,0.24091055417171492,1.0,0.0,False
NDW_MM_NDW,0.13243855603701912,0.5480837786210523,0.11627163815359795,1.0,0.0,False
NDW_M_NDW,0.1661752742401661,0.556553615230951,0.13070588661447963,1.0,0.0,False
NDW_NNB_NDW,0.2673410815856832,0.5832624068524154,0.18127331403687308,1.0,0.0,False
NDW_NNG_NDW,0.3110279226800458,0.5994898025565839,0.22261393145542474,1.0,0.0,False
NDW_NNP_NDW,0.002512403216478709,0.5058000147149134,0.01823302602315163,1.0,0.0,False
NDW_NN_NDW,0.3100055289686554,0.6010735234469933,0.22570555587679833,1.0,0.0,False
NDW_NP_NDW,0.11367268992812195,0.539559806417465,0.09069371723124457,1.0,0.0,False
NDW_NR_NDW,0.05005687549699618,0.5157557176210626,0.04612575907030074,1.0,0.0,False
NDW_N_NDW,0.3136573878133645,0.6020621462817689,0.22819613463518032,1.0,0.0,False
NDW_VA_NDW,0.23337103364046446,0.5739884582992952,0.16180611207986756,1.0,0.0,False
NDW_VV_NDW,0.3096671435230681,0.5994972877615066,0.22325420486982286,1.0,0.0,False
NDW_V_NDW,0.33238198813399594,0.6053463897866412,0.23359750389611267,1.0,0.0,False
NDW_X_NDW,0.2682789610914817,0.5863783309594728,0.18694601910374792,1.0,0.0,False
NDW_morph_NDW,0.33075112526603334,0.6024898928879373,0.22666227192455854,1.0,0.0,False
adjacency_C_adjOverlap,0.2362411359422521,0.5756230373220487,0.17332138797490163,1.0,0.0,False
adjacency_C_adjOverlap3,0.2407330205576573,0.5770906087616123,0.17633981782187477,1.0,0.0,False
adjacency_C_adjOverlap3Ratio,0.10255687035907052,0.5226836973963516,0.05090876853430822,1.0,0.0,False
adjacency_C_adjOverlap3Token,0.25858858825946157,0.5829625943694141,0.187003694008734,1.0,0.0,False
adjacency_C_adjOverlap3TokenRatio,0.031736167841219895,0.5115902387991749,0.02933675802438727,1.0,0.0,False
adjacency_C_adjOverlapRatio,0.09383263010695708,0.5177501022836137,0.040833004219205535,1.0,0.0,False
adjacency_C_adjOverlapToken,0.2674266134660357,0.5855183294963352,0.19338939534926558,1.0,0.0,False
adjacency_C_adjOverlapTokenRatio,0.007000862426191147,0.49811147915172127,0.0010356593156504148,1.0,0.0,False
adjacency_C_repRatio,0.12166793304473644,0.46613352416586507,-0.0706008031891299,1.0,0.0,False
adjacency_NN_adjOverlap,0.24302213966691386,0.5765868880122665,0.17749333370281234,1.0,0.0,False
adjacency_NN_adjOverlap3,0.23292594053419288,0.572301351322262,0.1683831252383143,1.0,0.0,False
adjacency_NN_adjOverlap3Ratio,0.07507694494532274,0.5203608424209425,0.04885234779828003,1.0,0.0,False
adjacency_NN_adjOverlap3Token,0.2440616858470885,0.5750228051148678,0.17128546645748294,1.0,0.0,False
adjacency_NN_adjOverlap3TokenRatio,0.025346223587963717,0.5111598374729851,0.029265973271760316,1.0,0.0,False
adjacency_NN_adjOverlapRatio,0.08857761008797825,0.5223826122632437,0.05446266277302272,1.0,0.0,False
adjacency_NN_adjOverlapToken,0.25797623302361106,0.57886867271969,0.18020823921432208,1.0,0.0,False
adjacency_NN_adjOverlapTokenRatio,0.0013116177024714772,0.5021985960703942,0.010960443767650192,1.0,0.0,False
adjacency_NN_repRatio,0.03374990278865984,0.5132801045867964,0.0284581029814053,1.0,0.0,False
adjacency_N_adjOverlap,0.24659546861443593,0.5781896834832413,0.1803513882236584,1.0,0.0,False
adjacency_N_adjOverlap3,0.23715489769865758,0.5744777573566816,0.1726194518022519,1.0,0.0,False
adjacency_N_adjOverlap3Ratio,0.08145924822934118,0.521786438992581,0.05162952821971612,1.0,0.0,False
adjacency_N_adjOverlap3Token,0.24775689391549313,0.5774404244663242,0.17647432243325753,1.0,0.0,False
adjacency_N_adjOverlap3TokenRatio,0.03226409029191623,0.5131083366679112,0.03408465214720288,1.0,0.0,False
adjacency_N_adjOverlapRatio,0.0953843795496648,0.523151749520751,0.05606936773259302,1.0,0.0,False
adjacency_N_adjOverlapToken,0.2625160833020417,0.5816038306326866,0.1859866875173414,1.0,0.0,False
adjacency_N_adjOverlapTokenRatio,0.008713496221559503,0.5037815359654394,0.014938217213929789,1.0,0.0,False
adjacency_N_repRatio,0.008606488741468285,0.5054102171452872,0.012941076246515566,1.0,0.0,False
